subject activity TimeBodyAcceler~ TimeBodyAcceler~ TimeBodyAcceler~
     <int> <fct>               <dbl>            <dbl>            <dbl>
 1       1 LAYING              0.222         -0.0405           -0.113 
 2       1 SITTING             0.261         -0.00131          -0.105 
 3       1 STANDING            0.279         -0.0161           -0.111 
 4       1 WALKING             0.277         -0.0174           -0.111 
 5       1 WALKING~            0.289         -0.00992          -0.108 
 6       1 WALKING~            0.255         -0.0240           -0.0973
 7       2 LAYING              0.281         -0.0182           -0.107 
 8       2 SITTING             0.277         -0.0157           -0.109 
 9       2 STANDING            0.278         -0.0184           -0.106 
10       2 WALKING             0.276         -0.0186           -0.106 
